name,pred,gt,dice,iou,precision,recall,specificity,hd95,object_f1,object_precision,object_recall,object_dice,n_pred,n_gt
testA_31,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_31.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_31.png,0.6250923009434313,0.4546431017691595,0.6220545115077488,0.6281599059403495,0.7991685152496749,234.77808271185384,0.056603773584905655,0.0297029702970297,0.6,0.7799186353703355,101,5
testA_32,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_32.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_32.png,0.6971133028638558,0.5350528978444818,0.7491598159372218,0.6518286922514746,0.8926564297729421,73.68174807915459,0.16161616161616163,0.08888888888888889,0.8888888888888888,0.794506931778722,90,9
testA_33,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_33.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_33.png,0.6840029437086128,0.5197602383985572,0.7549589735131067,0.625238866213827,0.7598456431996122,77.89736837660179,0.06779661016949153,0.0425531914893617,0.16666666666666666,0.7896088844023981,47,12
testA_34,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_34.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_34.png,0.7374018601695391,0.584035281621352,0.6774876148286926,0.8089413373372722,0.616528778843634,82.28000972289685,0.11320754716981134,0.06666666666666667,0.375,0.7794842794690334,45,8
testA_35,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_35.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_35.png,0.7355629078159807,0.5817315170237488,0.8632867471325041,0.6407617826529712,0.7861842488350682,29.120439557122072,0.4736842105263158,0.42857142857142855,0.5294117647058824,0.7854965825140207,21,17
testA_36,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_36.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_36.png,0.7401438976536475,0.5874828849708473,0.8427994344584792,0.6597806107336307,0.7946099290793691,45.17742799230607,0.15584415584415584,0.1016949152542373,0.3333333333333333,0.8195738348143725,59,18
testA_37,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_37.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_37.png,0.6526476200132283,0.48439267240595535,0.7710034060262658,0.5657933740048168,0.6502479187797502,61.566222557160124,0.0425531914893617,0.025,0.14285714285714285,0.7294541092322626,40,7
testA_38,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_38.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_38.png,0.4427344486958054,0.28430247386522844,0.33976291813883375,0.6352627508520523,0.8293436423801142,477.68530122926074,0.023529411764705882,0.011904761904761904,1.0,0.7316109681935697,84,1
testA_39,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_39.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_39.png,0.47282990819686593,0.30961181779173114,0.34434731722069895,0.7542580634863364,0.7380275268246589,402.24526094676725,0.06382978723404255,0.03296703296703297,1.0,0.7496534201971555,91,3
testA_4,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_4.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_4.png,0.5627716057664623,0.391567274921046,0.4325227004675025,0.8052682652799451,0.7463614850788814,342.8041700146413,0.10101010101010102,0.05319148936170213,1.0,0.8269689412922909,94,5
testA_40,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_40.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_40.png,0.5338813189951029,0.3641460448692409,0.5983402082732261,0.4819600098766627,0.6755841584174476,36.40054944640259,0.0,0.0,0.0,0.0,64,25
testA_41,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_41.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_41.png,0.4884483714905786,0.3231436904179621,0.35346098221344074,0.7902439779106356,0.7251296655328713,199.44986836931616,0.048780487804878044,0.02631578947368421,0.3333333333333333,0.820229870056363,76,6
testA_42,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_42.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_42.png,0.6272079310368323,0.45688487369563796,0.6614666418083278,0.5963231357339638,0.7990275659639928,154.0,0.037037037037037035,0.0196078431372549,0.3333333333333333,0.8474288475875782,51,3
testA_43,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_43.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_43.png,0.7158349403344606,0.5574321890695845,0.8177753570775628,0.6364924801824972,0.7939099735235188,26.0,0.11538461538461538,0.1,0.13636363636363635,0.832043252152098,30,22
